lat,lon,bearing,depth
38.598777777777784,89.97516666666667,270.0,1.1417814
38.59875,89.97661111111111,270.0,1.0169624
38.59666666666667,90.64002777777779,348.0,0.9858812
38.59711111111111,90.64041666666667,337.0,0.96916014
38.59733333333334,90.6406388888889,335.0,0.9155358
38.597388888888894,90.64069444444445,331.0,0.91025686
38.597388888888894,90.64069444444445,330.0,0.9102273
38.597388888888894,90.64069444444445,330.0,0.9096894
38.597388888888894,90.64069444444445,330.0,0.9093233
38.59747222222222,90.64080555555556,328.0,0.9055825
38.59777777777778,90.64111111111112,327.0,0.89271754
38.59813888888889,90.64144444444445,327.0,1.2999741
38.75975,90.76341666666667,326.0,1.0757191
38.76063888888889,90.76422222222222,326.0,0.9950051
38.76155555555555,90.76511111111111,326.0,1.2459457
38.82391666666667,91.19747222222223,285.0,2.1056335
38.824361111111116,91.19891666666668,285.0,2.0850503
38.82522222222222,91.20175,284.0,0.9919193
38.93588888888888,92.77483333333333,250.0,1.6799518
38.93586111111111,92.77638888888889,251.0,0.95637995
39.00333333333333,93.82525,273.0,0.84524286
39.05008333333333,96.75666666666666,216.0,1.5303446
39.049055555555555,96.75758333333333,215.0,1.3227637
38.888777777777776,99.29583333333333,303.0,1.0443932
43.598333333333336,116.53794444444445,269.0,1.2270098
38.206583333333334,85.34008333333333,287.0,1.3969398
38.21819444444445,85.4191388888889,281.0,0.9277557
